,d,current_eps_now,current_eps,E,E_thm,iterations
0,0.8,0.17061165703349848,0.17061165703349848,-1.63349516211239,-1.795619180327097,0
1,0.8,0.17061165703349848,0.2706116570334985,-1.6871202368221914,-1.795619180327097,1
2,0.8,0.2706116570334985,0.3706116570334985,-1.7140904361288678,-1.795619180327097,2
3,0.8,0.3706116570334985,0.4706116570334985,-1.7393771715792572,-1.795619180327097,3
4,0.8,0.4706116570334985,0.5706116570334985,-1.7635231091476729,-1.795619180327097,4
5,0.8,0.5706116570334985,0.6706116570334985,-1.786991834740328,-1.795619180327097,5
6,0.8,0.6706116570334985,0.5706116570334985,-1.795619181747798,-1.795619180327097,6
7,0.8,0.5706116570334985,0.5806116570334985,-1.786991834740328,-1.795619180327097,7
8,0.8,0.5806116570334985,0.5906116570334985,-1.7892823171754224,-1.795619180327097,8
9,0.8,0.5906116570334985,0.6006116570334985,-1.7915579085302862,-1.795619180327097,9
10,0.8,0.6006116570334985,0.6106116570334985,-1.79374818313313,-1.795619180327097,10
11,0.8,0.6106116570334985,0.6206116570334985,-1.7948801319571213,-1.795619180327097,11
12,0.8,0.6206116570334985,0.6306116570334985,-1.7953930500939963,-1.795619180327097,12
13,0.8,0.6306116570334985,0.6406116570334985,-1.795596216643466,-1.795619180327097,13
14,0.8,0.6406116570334985,0.6306116570334985,-1.7956191803350439,-1.795619180327097,14
15,0.8,0.6306116570334985,0.6316116570334985,-1.795596216643466,-1.795619180327097,15
16,0.8,0.6316116570334985,0.6326116570334985,-1.79560444474904,-1.795619180327097,16
17,0.8,0.6326116570334985,0.6336116570334985,-1.7956107659919769,-1.795619180327097,17
18,0.8,0.6336116570334985,0.6346116570334985,-1.7956153070827603,-1.795619180327097,18
19,0.8,0.6346116570334985,0.6356116570334985,-1.7956180775346429,-1.795619180327097,19
20,0.8,0.6356116570334985,0.6366116570334985,-1.795619161452826,-1.795619180327097,20
21,0.8,0.6366116570334985,0.6376116570334985,-1.7956191024190764,-1.795619180327097,21
22,0.8,0.6376116570334985,0.6386116570334985,-1.7956191546781353,-1.795619180327097,22
23,0.8,0.6386116570334985,0.6376116570334985,-1.795619180333336,-1.795619180327097,23
24,0.8,0.6376116570334985,0.6377116570334985,-1.7956191546781353,-1.795619180327097,24
25,0.8,0.6377116570334985,0.6378116570334985,-1.7956191783179516,-1.795619180327097,25
26,0.8,0.6378116570334985,0.6379116570334985,-1.7956191699840696,-1.795619180327097,26
