,d,current_eps_now,current_eps,E,E_thm,iterations
0,0.5,0.1773911648027544,0.1773911648027544,-1.8532954035315412,-2.113514216310624,0
1,0.5,0.1773911648027544,0.2773911648027544,-1.9412315105642666,-2.113514216310624,1
2,0.5,0.2773911648027544,0.37739116480275436,-1.986548206609701,-2.113514216310624,2
3,0.5,0.37739116480275436,0.47739116480275434,-2.030397178672829,-2.113514216310624,3
4,0.5,0.47739116480275434,0.5773911648027543,-2.0734122628399803,-2.113514216310624,4
5,0.5,0.5773911648027543,0.6773911648027543,-2.1134105174635742,-2.113514216310624,5
6,0.5,0.6773911648027543,0.5773911648027543,-2.1135142328771965,-2.113514216310624,6
7,0.5,0.5773911648027543,0.5873911648027543,-2.1134105174635742,-2.113514216310624,7
8,0.5,0.5873911648027543,0.5973911648027543,-2.113514141933618,-2.113514216310624,8
9,0.5,0.5973911648027543,0.6073911648027543,-2.1135141969005224,-2.113514216310624,9
10,0.5,0.6073911648027543,0.6173911648027544,-2.113513975777401,-2.113514216310624,10
11,0.5,0.6173911648027544,0.6273911648027544,-2.113514208685704,-2.113514216310624,11
12,0.5,0.6273911648027544,0.6173911648027544,-2.113514221652239,-2.113514216310624,12
13,0.5,0.6173911648027544,0.6183911648027544,-2.113514208685704,-2.113514216310624,13
14,0.5,0.6183911648027544,0.6193911648027544,-2.1135142109852088,-2.113514216310624,14
15,0.5,0.6193911648027544,0.6203911648027544,-2.113514213729867,-2.113514216310624,15
16,0.5,0.6203911648027544,0.6193911648027544,-2.1135142163831158,-2.113514216310624,16
17,0.5,0.6193911648027544,0.6194911648027543,-2.113514213729867,-2.113514216310624,17
18,0.5,0.6194911648027543,0.6195911648027543,-2.1135142140057552,-2.113514216310624,18
19,0.5,0.6195911648027543,0.6196911648027543,-2.113514214283556,-2.113514216310624,19
20,0.5,0.6196911648027543,0.6197911648027543,-2.113514214564745,-2.113514216310624,20
21,0.5,0.6197911648027543,0.6198911648027543,-2.113514214844941,-2.113514216310624,21
22,0.5,0.6198911648027543,0.6199911648027543,-2.113514215120266,-2.113514216310624,22
23,0.5,0.6199911648027543,0.6200911648027543,-2.113514215392561,-2.113514216310624,23
24,0.5,0.6200911648027543,0.6201911648027543,-2.1135142156700106,-2.113514216310624,24
25,0.5,0.6201911648027543,0.6202911648027543,-2.1135142159471503,-2.113514216310624,25
26,0.5,0.6202911648027543,0.6203911648027542,-2.1135142161697935,-2.113514216310624,26
