,d,current_eps_now,current_eps,E,E_thm,iterations
0,2.8,0.15517335133586088,0.15517335133586088,-1.076267251971132,-1.1231429567137938,0
1,2.8,0.15517335133586088,0.2551733513358609,-1.1197989039531961,-1.1231429567137938,1
2,2.8,0.2551733513358609,0.3551733513358609,-1.1227464013428186,-1.1231429567137938,2
3,2.8,0.3551733513358609,0.4551733513358609,-1.1228672674005327,-1.1231429567137938,3
4,2.8,0.4551733513358609,0.5551733513358609,-1.1229492148643436,-1.1231429567137938,4
5,2.8,0.5551733513358609,0.6551733513358609,-1.1230223385929463,-1.1231429567137938,5
6,2.8,0.6551733513358609,0.7551733513358608,-1.1230908464599691,-1.1231429567137938,6
7,2.8,0.7551733513358608,0.8551733513358608,-1.1231428723511037,-1.1231429567137938,7
8,2.8,0.8551733513358608,0.9551733513358608,-1.123142941679763,-1.1231429567137938,8
9,2.8,0.9551733513358608,0.8551733513358608,-1.1231429838663674,-1.1231429567137938,9
10,2.8,0.8551733513358608,0.8651733513358608,-1.123142941679763,-1.1231429567137938,10
11,2.8,0.8651733513358608,0.8551733513358608,-1.1231429952212162,-1.1231429567137938,11
12,2.8,0.8551733513358608,0.8561733513358608,-1.123142941679763,-1.1231429567137938,12
13,2.8,0.8561733513358608,0.8571733513358608,-1.1231429423392598,-1.1231429567137938,13
14,2.8,0.8571733513358608,0.8561733513358608,-1.1231431206937457,-1.1231429567137938,14
15,2.8,0.8561733513358608,0.8562733513358608,-1.1231429423392598,-1.1231429567137938,15
16,2.8,0.8562733513358608,0.8563733513358608,-1.1231429422685257,-1.1231429567137938,16
17,2.8,0.8563733513358608,0.8564733513358608,-1.123142942230083,-1.1231429567137938,17
18,2.8,0.8564733513358608,0.8565733513358608,-1.123142942215539,-1.1231429567137938,18
19,2.8,0.8565733513358608,0.8566733513358608,-1.1231429422615598,-1.1231429567137938,19
20,2.8,0.8566733513358608,0.8567733513358607,-1.123142942040653,-1.1231429567137938,20
21,2.8,0.8567733513358607,0.8568733513358607,-1.1231429043811998,-1.1231429567137938,21
