,d,current_eps_now,current_eps,E,E_thm,iterations
0,3.4,0.14815232513218002,0.14815232513218002,-1.0435484061569666,-1.088901413612546,0
1,3.4,0.14815232513218002,0.24815232513218002,-1.0879988548460537,-1.088901413612546,1
2,3.4,0.24815232513218002,0.34815232513218003,-1.0888718289630295,-1.088901413612546,2
3,3.4,0.34815232513218003,0.44815232513218006,-1.0888795075563569,-1.088901413612546,3
4,3.4,0.44815232513218006,0.54815232513218,-1.0888863207804955,-1.088901413612546,4
5,3.4,0.54815232513218,0.64815232513218,-1.0888927776958528,-1.088901413612546,5
6,3.4,0.64815232513218,0.74815232513218,-1.0888990003972767,-1.088901413612546,6
7,3.4,0.74815232513218,0.84815232513218,-1.0889013721592864,-1.088901413612546,7
8,3.4,0.84815232513218,0.94815232513218,-1.088901379804749,-1.088901413612546,8
9,3.4,0.94815232513218,1.04815232513218,-1.0889013405214383,-1.088901413612546,9
10,3.4,1.04815232513218,0.9481523251321801,-1.088901444910971,-1.088901413612546,10
11,3.4,0.9481523251321801,0.9581523251321801,-1.0889013405214218,-1.088901413612546,11
12,3.4,0.9581523251321801,0.9681523251321801,-1.0889013410434885,-1.088901413612546,12
13,3.4,0.9681523251321801,0.9781523251321801,-1.0889013392505695,-1.088901413612546,13
14,3.4,0.9781523251321801,0.9681523251321801,-1.0889014445912115,-1.088901413612546,14
15,3.4,0.9681523251321801,0.9691523251321801,-1.0889013392505695,-1.088901413612546,15
16,3.4,0.9691523251321801,0.9701523251321801,-1.0889013382411477,-1.088901413612546,16
17,3.4,0.9701523251321801,0.9711523251321801,-1.0889013373696534,-1.088901413612546,17
18,3.4,0.9711523251321801,0.9721523251321801,-1.0889013364582827,-1.088901413612546,18
19,3.4,0.9721523251321801,0.9731523251321801,-1.0889013362520097,-1.088901413612546,19
20,3.4,0.9731523251321801,0.9741523251321801,-1.0889013361974968,-1.088901413612546,20
21,3.4,0.9741523251321801,0.9751523251321801,-1.088901336088378,-1.088901413612546,21
22,3.4,0.9751523251321801,0.9761523251321801,-1.088901337070931,-1.088901413612546,22
23,3.4,0.9761523251321801,0.9771523251321801,-1.0889013380067827,-1.088901413612546,23
24,3.4,0.9771523251321801,0.9781523251321801,-1.088901339028573,-1.088901413612546,24
25,3.4,0.9781523251321801,0.9771523251321801,-1.0889014445912115,-1.088901413612546,25
26,3.4,0.9771523251321801,0.9772523251321801,-1.088901339028573,-1.088901413612546,26
27,3.4,0.9772523251321801,0.9773523251321801,-1.0889013392041753,-1.088901413612546,27
28,3.4,0.9773523251321801,0.97745232513218,-1.088901339379443,-1.088901413612546,28
29,3.4,0.97745232513218,0.97755232513218,-1.0889013395550824,-1.088901413612546,29
