,d,current_eps_now,current_eps,E,E_thm,iterations
0,2.5,0.15212807593244446,0.15212807593244446,-1.102529843774045,-1.1477258043236076,0
1,2.5,0.15212807593244446,0.25212807593244446,-1.1451565491822455,-1.1477258043236076,1
2,2.5,0.25212807593244446,0.35212807593244444,-1.146664193331866,-1.1477258043236076,2
3,2.5,0.35212807593244444,0.4521280759324444,-1.146917077413389,-1.1477258043236076,3
4,2.5,0.4521280759324444,0.5521280759324444,-1.1471358443611004,-1.1477258043236076,4
5,2.5,0.5521280759324444,0.6521280759324444,-1.1473395744550583,-1.1477258043236076,5
6,2.5,0.6521280759324444,0.7521280759324444,-1.14753516163323,-1.1477258043236076,6
7,2.5,0.7521280759324444,0.8521280759324443,-1.1476951484409983,-1.1477258043236076,7
8,2.5,0.8521280759324443,0.7521280759324444,-1.1477258270245396,-1.1477258043236076,8
9,2.5,0.7521280759324444,0.7621280759324444,-1.1476951484409983,-1.1477258043236076,9
10,2.5,0.7621280759324444,0.7721280759324444,-1.147702201396994,-1.1477258043236076,10
11,2.5,0.7721280759324444,0.7821280759324444,-1.1477080761317395,-1.1477258043236076,11
12,2.5,0.7821280759324444,0.7921280759324444,-1.1477129255681884,-1.1477258043236076,12
13,2.5,0.7921280759324444,0.8021280759324444,-1.1477168784509564,-1.1477258043236076,13
14,2.5,0.8021280759324444,0.8121280759324444,-1.147720004739766,-1.1477258043236076,14
15,2.5,0.8121280759324444,0.8221280759324444,-1.1477224031435695,-1.1477258043236076,15
16,2.5,0.8221280759324444,0.8321280759324444,-1.147724128439491,-1.1477258043236076,16
17,2.5,0.8321280759324444,0.8421280759324444,-1.147725229790734,-1.1477258043236076,17
18,2.5,0.8421280759324444,0.8521280759324444,-1.1477257447878302,-1.1477258043236076,18
19,2.5,0.8521280759324444,0.8421280759324444,-1.1477258270245398,-1.1477258043236076,19
20,2.5,0.8421280759324444,0.8431280759324444,-1.1477257447878302,-1.1477258043236076,20
21,2.5,0.8431280759324444,0.8441280759324444,-1.1477257715929856,-1.1477258043236076,21
22,2.5,0.8441280759324444,0.8451280759324444,-1.147725787400794,-1.1477258043236076,22
23,2.5,0.8451280759324444,0.8461280759324444,-1.147725798381114,-1.1477258043236076,23
24,2.5,0.8461280759324444,0.8471280759324444,-1.1477257875249571,-1.1477258043236076,24
25,2.5,0.8471280759324444,0.8481280759324444,-1.147725784744153,-1.1477258043236076,25
26,2.5,0.8481280759324444,0.8471280759324444,-1.1477258772191126,-1.1477258043236076,26
27,2.5,0.8471280759324444,0.8472280759324444,-1.147725784744153,-1.1477258043236076,27
28,2.5,0.8472280759324444,0.8473280759324444,-1.1477257848469105,-1.1477258043236076,28
29,2.5,0.8473280759324444,0.8474280759324444,-1.1477257848146813,-1.1477258043236076,29
30,2.5,0.8474280759324444,0.8475280759324444,-1.147725784788122,-1.1477258043236076,30
31,2.5,0.8475280759324444,0.8476280759324444,-1.147725784768021,-1.1477258043236076,31
32,2.5,0.8476280759324444,0.8477280759324444,-1.1477257846765243,-1.1477258043236076,32
33,2.5,0.8477280759324444,0.8478280759324444,-1.1477257845756093,-1.1477258043236076,33
34,2.5,0.8478280759324444,0.8479280759324443,-1.1477257844955218,-1.1477258043236076,34
35,2.5,0.8479280759324443,0.8480280759324443,-1.1477257843368829,-1.1477258043236076,35
