,d,current_eps_now,current_eps,E,E_thm,iterations
0,1.3,0.17110686787948762,0.17110686787948762,-1.3667623254471546,-1.4422456594496404,0
1,1.3,0.17110686787948762,0.2711068678794876,-1.4009404678132804,-1.4422456594496404,1
2,1.3,0.2711068678794876,0.37110686787948766,-1.410969384746988,-1.4422456594496404,2
3,1.3,0.37110686787948766,0.47110686787948763,-1.419893766720626,-1.4422456594496404,3
4,1.3,0.47110686787948763,0.5711068678794876,-1.4282082802732636,-1.4422456594496404,4
5,1.3,0.5711068678794876,0.6711068678794876,-1.4361919299208192,-1.4422456594496404,5
6,1.3,0.6711068678794876,0.7711068678794876,-1.442242295386278,-1.4422456594496404,6
7,1.3,0.7711068678794876,0.6711068678794876,-1.442245673892824,-1.4422456594496404,7
8,1.3,0.6711068678794876,0.6811068678794876,-1.442242295386278,-1.4422456594496404,8
9,1.3,0.6811068678794876,0.6911068678794876,-1.4422456288910412,-1.4422456594496404,9
10,1.3,0.6911068678794876,0.6811068678794876,-1.4422456594867699,-1.4422456594496404,10
11,1.3,0.6811068678794876,0.6821068678794876,-1.4422456288910412,-1.4422456594496404,11
12,1.3,0.6821068678794876,0.6811068678794876,-1.4422456684016152,-1.4422456594496404,12
13,1.3,0.6811068678794876,0.6812068678794876,-1.4422456288910412,-1.4422456594496404,13
14,1.3,0.6812068678794876,0.6813068678794876,-1.4422456261530536,-1.4422456594496404,14
15,1.3,0.6813068678794876,0.6814068678794876,-1.442245624813612,-1.4422456594496404,15
16,1.3,0.6814068678794876,0.6815068678794876,-1.4422455418393367,-1.4422456594496404,16
17,1.3,0.6815068678794876,0.6816068678794875,-1.442245575486138,-1.4422456594496404,17
18,1.3,0.6816068678794875,0.6817068678794875,-1.4422456274282172,-1.4422456594496404,18
