,d,current_eps_now,current_eps,E,E_thm,iterations
0,1.0,0.17928380685924086,0.17928380685924086,-1.522485572446116,-1.630327541152619,0
1,1.0,0.17928380685924086,0.27928380685924087,-1.5628950132506194,-1.630327541152619,1
2,1.0,0.27928380685924087,0.3792838068592409,-1.5807468608811583,-1.630327541152619,2
3,1.0,0.3792838068592409,0.4792838068592409,-1.5973778738565598,-1.630327541152619,3
4,1.0,0.4792838068592409,0.5792838068592409,-1.61322326997094,-1.630327541152619,4
5,1.0,0.5792838068592409,0.6792838068592408,-1.6286046171727757,-1.630327541152619,5
6,1.0,0.6792838068592408,0.5792838068592409,-1.630327558428983,-1.630327541152619,6
7,1.0,0.5792838068592409,0.5892838068592409,-1.6286046171727757,-1.630327541152619,7
8,1.0,0.5892838068592409,0.5992838068592409,-1.6297097092111352,-1.630327541152619,8
9,1.0,0.5992838068592409,0.6092838068592409,-1.630145169887085,-1.630327541152619,9
10,1.0,0.6092838068592409,0.6192838068592409,-1.6303081792105665,-1.630327541152619,10
11,1.0,0.6192838068592409,0.6292838068592409,-1.6303275411362819,-1.630327541152619,11
12,1.0,0.6292838068592409,0.6192838068592409,-1.6303276722796027,-1.630327541152619,12
13,1.0,0.6192838068592409,0.6202838068592409,-1.6303275411362819,-1.630327541152619,13
14,1.0,0.6202838068592409,0.6192838068592409,-1.6303278479690646,-1.630327541152619,14
15,1.0,0.6192838068592409,0.6193838068592409,-1.6303275411362819,-1.630327541152619,15
16,1.0,0.6193838068592409,0.6194838068592409,-1.6303275411453595,-1.630327541152619,16
