,d,current_eps_now,current_eps,E,E_thm,iterations
0,2.2,0.15393168555027836,0.15393168555027836,-1.139719847338431,-1.1817591295659868,0
1,2.2,0.15393168555027836,0.25393168555027834,-1.1776294344059157,-1.1817591295659868,1
2,2.2,0.25393168555027834,0.3539316855502783,-1.17915014979668,-1.1817591295659868,2
3,2.2,0.3539316855502783,0.4539316855502783,-1.179837933563839,-1.1817591295659868,3
4,2.2,0.4539316855502783,0.5539316855502783,-1.1804473832576214,-1.1817591295659868,4
5,2.2,0.5539316855502783,0.6539316855502783,-1.1810198472398592,-1.1817591295659868,5
6,2.2,0.6539316855502783,0.7539316855502782,-1.1815703117545242,-1.1817591295659868,6
7,2.2,0.7539316855502782,0.8539316855502782,-1.1817590988662285,-1.1817591295659868,7
8,2.2,0.8539316855502782,0.9539316855502782,-1.1817591291653553,-1.1817591295659868,8
9,2.2,0.9539316855502782,1.0539316855502783,-1.1817591109954402,-1.1817591295659868,9
10,2.2,1.0539316855502783,1.1539316855502784,-1.1817591180290892,-1.1817591295659868,10
11,2.2,1.1539316855502784,1.2539316855502785,-1.1817591228481172,-1.1817591295659868,11
12,2.2,1.2539316855502785,1.3539316855502785,-1.181759096101233,-1.1817591295659868,12
13,2.2,1.3539316855502785,1.4539316855502786,-1.1817590913171576,-1.1817591295659868,13
14,2.2,1.4539316855502786,1.5539316855502787,-1.1817590910582236,-1.1817591295659868,14
15,2.2,1.5539316855502787,1.6539316855502788,-1.1817590891964675,-1.1817591295659868,15
16,2.2,1.6539316855502788,1.753931685550279,-1.1817590877639828,-1.1817591295659868,16
17,2.2,1.753931685550279,1.853931685550279,-1.1817590883999847,-1.1817591295659868,17
18,2.2,1.853931685550279,1.953931685550279,-1.1817590906349968,-1.1817591295659868,18
19,2.2,1.953931685550279,2.053931685550279,-1.1817590909150266,-1.1817591295659868,19
20,2.2,2.053931685550279,2.1539316855502793,-1.1817590900626658,-1.1817591295659868,20
21,2.2,2.1539316855502793,2.2539316855502793,-1.181759089414609,-1.1817591295659868,21
22,2.2,2.2539316855502793,2.3539316855502794,-1.1817590889271936,-1.1817591295659868,22
23,2.2,2.3539316855502794,2.4539316855502795,-1.1817590885683438,-1.1817591295659868,23
24,2.2,2.4539316855502795,2.3539316855502794,-1.1817591310143365,-1.1817591295659868,24
25,2.2,2.3539316855502794,2.363931685550279,-1.1817590885683438,-1.1817591295659868,25
26,2.2,2.363931685550279,2.373931685550279,-1.1817590885384626,-1.1817591295659868,26
27,2.2,2.373931685550279,2.363931685550279,-1.1817591306658155,-1.1817591295659868,27
28,2.2,2.363931685550279,2.364931685550279,-1.1817590885384626,-1.1817591295659868,28
29,2.2,2.364931685550279,2.363931685550279,-1.1817591306311857,-1.1817591295659868,29
30,2.2,2.363931685550279,2.3640316855502794,-1.1817590885384626,-1.1817591295659868,30
31,2.2,2.3640316855502794,2.3641316855502796,-1.1817590885381697,-1.1817591295659868,31
32,2.2,2.3641316855502796,2.36423168555028,-1.181759088537876,-1.1817591295659868,32
33,2.2,2.36423168555028,2.36433168555028,-1.1817590885375826,-1.1817591295659868,33
