,d,current_eps_now,current_eps,E,E_thm,iterations
0,1.2,0.17589947295606906,0.17589947295606906,-1.417357783135005,-1.4977217554052573,0
1,1.2,0.17589947295606906,0.2758994729560691,-1.4514737987672406,-1.4977217554052573,1
2,1.2,0.2758994729560691,0.37589947295606907,-1.4636421479696733,-1.4977217554052573,2
3,1.2,0.37589947295606907,0.47589947295606905,-1.474531187488915,-1.4977217554052573,3
4,1.2,0.47589947295606905,0.575899472956069,-1.4847815394304524,-1.4977217554052573,4
5,1.2,0.575899472956069,0.675899472956069,-1.4947203234029023,-1.4977217554052573,5
6,1.2,0.675899472956069,0.575899472956069,-1.497721791578142,-1.4977217554052573,6
7,1.2,0.575899472956069,0.585899472956069,-1.4947203234029023,-1.4977217554052573,7
8,1.2,0.585899472956069,0.595899472956069,-1.495703091204148,-1.4977217554052573,8
9,1.2,0.595899472956069,0.605899472956069,-1.4966835367147504,-1.4977217554052573,9
10,1.2,0.605899472956069,0.6158994729560691,-1.4975854290361594,-1.4977217554052573,10
11,1.2,0.6158994729560691,0.6258994729560691,-1.4977217344466407,-1.4977217554052573,11
12,1.2,0.6258994729560691,0.6158994729560691,-1.4977217557617735,-1.4977217554052573,12
13,1.2,0.6158994729560691,0.6168994729560691,-1.4977217344466407,-1.4977217554052573,13
14,1.2,0.6168994729560691,0.6158994729560691,-1.4977217614947258,-1.4977217554052573,14
15,1.2,0.6158994729560691,0.615999472956069,-1.4977217344466407,-1.4977217554052573,15
16,1.2,0.615999472956069,0.616099472956069,-1.4977217336101714,-1.4977217554052573,16
17,1.2,0.616099472956069,0.616199472956069,-1.497721737880107,-1.4977217554052573,17
18,1.2,0.616199472956069,0.616299472956069,-1.4977217459314929,-1.4977217554052573,18
