,d,current_eps_now,current_eps,E,E_thm,iterations
0,0.6,0.18311790861748664,0.18311790861748664,-1.786377543539873,-1.9982480250695407,0
1,0.6,0.18311790861748664,0.28311790861748665,-1.8622538741989425,-1.9982480250695407,1
2,0.6,0.28311790861748665,0.3831179086174866,-1.8998094946717974,-1.9982480250695407,2
3,0.6,0.3831179086174866,0.4831179086174866,-1.935853523481394,-1.9982480250695407,3
4,0.6,0.4831179086174866,0.5831179086174866,-1.971061755132059,-1.9982480250695407,4
5,0.6,0.5831179086174866,0.4831179086174866,-1.9982480310313053,-1.9982480250695407,5
6,0.6,0.4831179086174866,0.4931179086174866,-1.971061755132059,-1.9982480250695407,6
7,0.6,0.4931179086174866,0.5031179086174866,-1.974549244624844,-1.9982480250695407,7
8,0.6,0.5031179086174866,0.5131179086174866,-1.9780315894597043,-1.9982480250695407,8
9,0.6,0.5131179086174866,0.5231179086174866,-1.9815024155591479,-1.9982480250695407,9
10,0.6,0.5231179086174866,0.5331179086174866,-1.9849490015938245,-1.9982480250695407,10
11,0.6,0.5331179086174866,0.5431179086174867,-1.9883726086183773,-1.9982480250695407,11
12,0.6,0.5431179086174867,0.5531179086174867,-1.9917745913036504,-1.9982480250695407,12
13,0.6,0.5531179086174867,0.5631179086174867,-1.9951561998297307,-1.9982480250695407,13
14,0.6,0.5631179086174867,0.5731179086174867,-1.9978572834266748,-1.9982480250695407,14
15,0.6,0.5731179086174867,0.5631179086174867,-1.9982480744419289,-1.9982480250695407,15
16,0.6,0.5631179086174867,0.5641179086174867,-1.9978572834266748,-1.9982480250695407,16
17,0.6,0.5641179086174867,0.5651179086174867,-1.9979506233067643,-1.9982480250695407,17
18,0.6,0.5651179086174867,0.5661179086174867,-1.9980262309215528,-1.9982480250695407,18
19,0.6,0.5661179086174867,0.5671179086174867,-1.9980872852365312,-1.9982480250695407,19
20,0.6,0.5671179086174867,0.5681179086174867,-1.9981363379836279,-1.9982480250695407,20
21,0.6,0.5681179086174867,0.5691179086174867,-1.9981745219940983,-1.9982480250695407,21
22,0.6,0.5691179086174867,0.5701179086174867,-1.9982037086271291,-1.9982480250695407,22
23,0.6,0.5701179086174867,0.5711179086174867,-1.9982248535851832,-1.9982480250695407,23
24,0.6,0.5711179086174867,0.5721179086174867,-1.9982387075624657,-1.9982480250695407,24
25,0.6,0.5721179086174867,0.5731179086174867,-1.9982462495445332,-1.9982480250695407,25
26,0.6,0.5731179086174867,0.5721179086174867,-1.9982480744419289,-1.9982480250695407,26
27,0.6,0.5721179086174867,0.5722179086174867,-1.9982462495445332,-1.9982480250695407,27
28,0.6,0.5722179086174867,0.5723179086174867,-1.9982466753866863,-1.9982480250695407,28
29,0.6,0.5723179086174867,0.5724179086174866,-1.9982470439743247,-1.9982480250695407,29
30,0.6,0.5724179086174866,0.5725179086174866,-1.998247355867763,-1.9982480250695407,30
31,0.6,0.5725179086174866,0.5726179086174866,-1.9982476117181438,-1.9982480250695407,31
32,0.6,0.5726179086174866,0.5727179086174866,-1.9982478120465796,-1.9982480250695407,32
33,0.6,0.5727179086174866,0.5728179086174866,-1.9982479574468062,-1.9982480250695407,33
